Date,Rainfall,Temp,Humidity,Wind Speed,Solar Rad,SO2,NO2,CO,O3,PM2.5,PM10
9/12/2013,3,29.2,83,0,403.37,6.476666667,38.54411765,0.880909091,9.761111111,104.165,94.13268293
9/13/2013,26,31.4,73,2,398.64,6.384444444,38.25529412,0.891636364,9.801851852,107.8484615,97.92707317
9/14/2013,12,27.7,85,2,393.91,6.292222222,37.96647059,0.902363636,9.842592593,111.5319231,101.7214634
9/15/2013,0,29.6,76,2,389.18,6.2,37.67764706,0.913090909,9.883333333,115.2153846,105.5158537
9/16/2013,0,29.1,80,0,384.45,6.107777778,37.38882353,0.923818182,9.924074074,118.8988462,109.3102439
9/17/2013,0,29.5,80,2,379.72,6.015555556,37.1,0.934545455,9.964814815,122.5823077,113.1046341
9/18/2013,12,29.5,78,2,374.99,5.923333333,36.81117647,0.945272727,10.00555556,126.2657692,116.8990244
9/19/2013,0,29.8,71,3,370.26,5.831111111,36.52235294,0.956,10.0462963,129.9492308,120.6934146
9/20/2013,2,30.3,72,2.5,365.53,5.738888889,36.23352941,0.966727273,10.08703704,133.6326923,124.4878049
9/21/2013,0,29.8,78,2,360.8,5.646666667,35.94470588,0.977454545,10.12777778,137.3161538,128.2821951
9/22/2013,4,29.2,85,2,356.07,5.554444444,35.65588235,0.988181818,10.16851852,140.9996154,132.0765854
9/23/2013,0,30.6,77,0,351.34,5.462222222,35.36705882,0.998909091,10.20925926,144.6830769,135.8709756
9/24/2013,0,30.2,81,2,346.61,5.37,35.07823529,1.009636364,10.25,148.3665385,139.6653659
9/25/2013,27,27.4,90,0,341.88,5.277777778,34.78941176,1.020363636,10.29074074,152.05,143.4597561
9/26/2013,1,28.3,84,2,337.15,5.185555556,34.50058824,1.031090909,10.33148148,155.7334615,147.2541463
9/27/2013,20,28.7,81,4,332.42,5.093333333,34.21176471,1.041818182,10.37222222,159.4169231,151.0485366
9/28/2013,0,28.4,84,0,327.69,5.001111111,33.92294118,1.052545455,10.41296296,163.1003846,154.8429268
9/29/2013,1,26.8,86,2,322.96,4.908888889,33.63411765,1.063272727,10.4537037,166.7838462,158.6373171
9/30/2013,2,26.6,84,2.3,318.23,4.816666667,33.34529412,1.074,10.49444444,170.4673077,162.4317073
10/1/2013,5,28.5,79,2,313.5,4.724444444,33.05647059,1.084727273,10.53518519,174.1507692,166.2260976
10/2/2013,0,30,72,2.5,308.77,4.632222222,32.76764706,1.095454545,10.57592593,177.8342308,170.0204878
10/3/2013,0,28.1,79,2,304.04,4.54,32.47882353,1.106181818,10.61666667,181.5176923,173.814878
10/4/2013,4,25.9,90,2,299.31,4.447777778,32.19,1.116909091,10.65740741,185.2011538,177.6092683
10/5/2013,30,26.6,90,2,294.58,4.355555556,31.90117647,1.127636364,10.69814815,188.8846154,181.4036585
10/6/2013,13,26.3,88,2,289.85,4.263333333,31.61235294,1.138363636,10.73888889,192.5680769,185.1980488
10/7/2013,3,26.9,88,0,285.12,4.171111111,31.32352941,1.149090909,10.77962963,196.2515385,188.992439
10/8/2013,1,27.9,76,2,280.39,4.078888889,31.03470588,1.159818182,10.82037037,199.935,192.7868293
10/9/2013,0,28.3,75,2,275.66,3.986666667,30.74588235,1.170545455,10.86111111,203.6184615,196.5812195
10/10/2013,0,29.2,70,2,270.93,3.894444444,30.45705882,1.181272727,10.90185185,207.3019231,200.3756098
10/11/2013,0,29.4,69,2,266.2,3.802222222,30.16823529,1.192,10.94259259,210.9853846,204.17
10/12/2013,0,28.9,77,2,261.47,3.71,29.87941176,1.202727273,10.98333333,214.6688462,207.9643902
10/13/2013,4,29,72,3.2,256.74,3.617777778,29.59058824,1.213454545,11.02407407,218.3523077,211.7587805
10/14/2013,1,29.3,71,2.7,252.01,3.525555556,29.30176471,1.224181818,11.06481481,222.0357692,215.5531707
10/15/2013,0,28,80,3,247.28,3.433333333,29.01294118,1.234909091,11.10555556,225.7192308,219.347561
10/16/2013,6,27.6,82,2,242.55,3.341111111,28.72411765,1.245636364,11.1462963,229.4026923,223.1419512
